,CompanyName,JobProfile,JobLocation,EligibleBranches,MinCgpa,Ctc,IiitAllowed
0,ixambee,software developer,"noida, delhi-ncr","cs, it, ece, ee, mech, civil, pie",0,6,
1,tummee.com,software development engineer,"remote, gurgaon","cs, it, ece, ee, mech, civil, pie",na,7lpa,0.0
2,jcb india,,ballabgarh(delhi ncr),"mech,ee",6.5,7,
3,smart energy water,software engineer,noida,"cs, it, ece, ee, mech, civil, pie",7,7.5,1.0
4,escorts ltd,,faridabad,"pie,ee,mech",7.7777,5.0,0.0
5,perceptive analytics,"data analyst, analyst",hyderabad,"cs, it, ece, ee, mech, civil, pie",7,6-7,
6,oracle financial services software,associate consultant,mumbai/bangalore/pune,"cs,it,ece,ee,mech,pie",7,6.4,0.0
7,onebanc technologies,software developers,gurgaon,"cs, it, ece, ee, mech, civil, pie",all,10,1.0
8,cadence,it associate systems engineer,noida,"cs,it",0,10.8,0.0
9,signalchip innovations,"dsp engineer, analog design engineer, digital design engineer, firmware design engineer, associate systems engineer",bangalore,"cs,it,ece,ee","8, 7",7-11,0.0
10,gameskraft technologies,game developer,bangalore,"cs,it",6,32,0.0
11,lowe's india,associate software engineer,bangalore,"cs,it,ece,ee",6,19.14,0.0
12,cubastion consulting,associate consultant,,"cs, it, ece, ee, mech, civil, pie",6,7.19,0.0
13,wells fargo,,"banglore, hyderabad","cs,it,ece,ee",6.5,20,0.0
14,bigbasket,software engineer,bangalore,"cs,it",7,9,1.0
15,cadence,,pune,"cs,it,ece",7.5 c,10,
16,mentor graphics,member technical staff,noida,"cs,ece",8,16.29,0.0
17,delhivery,software developer,gurgaon,"cs,it,ece",all,8 lpa+ medical insurance+gratuity,1.0
18,verizon,software engineer),"chennai, hyderabad, bangalore",,7,"7,15,000",0.0
19,anglo eastern ship management ltd. hong kong (merchant navy),,on company managed ships.,mech,6.666666666666667,na,
20,signify innovations india ltd,,noida,"mech,pie",0,9.6,0.0
21,accenture,,,"cs, it, ece, ee, mech, civil, pie",7.5,8.9 lakhs.,0.0
22,accolite,software developer,"gurgaon, mumbai, chennai, bangalore, hyderabad","cs,it,ece,ee",6,8 lpa,0.0
23,publicis sapient,software developer,"gurgaon, noida, bangalore","cs,it,ece",6.5,9,0.0
24,schneider electric,,,"cs,it,ece,ee",6.5,6.5,0.0
25,hexaviewtech,software developer,noida,"cs,it,ece,ee",0,6,1.0
26,wapcos limited,engineer trainees,,,7,5.76,0.0
27,capgemini,senior analyst,pan india,"cs, it, ece, ee, mech, civil, pie",6.666666666666667,6.8,0.0
28,undostres,software development engineer,mexico city,"cs,it,ece,ee",0,23 lpa (in hand,
29,avalara technologies,software engineer,"pune, chennai","cs,it,ece",7,20-22,1.0
30,brigosha,rnd engineer,,"cs,it,ece,ee",0,7,1.0
31,varroc engineering ltd.,graduate engineer trainee,,"ece,ee,mech,pie,civil",7.7,5-6.5,
32,nokia,"development, testing",pan india,"cs,it,ece",7,7,0.0
33,ihs markit,,"delhi-ncr, gurgaon, noida","cs,it",7,6+,1.0
34,evosys,oracle functional consulting,ahmedabad,"civil,ee",6.111111111111111,5.5,1.0
35,claritrics india private limited,,chennai,"cs,it,ece,ee",all,9lpa,1.0
36,hpcl,officer-engineering,pan-india,mech,6.666666666666667,15.18,
37,vedanta limited,graduate engineer trainee,pan india,"mech,pie",6.666666666666667,5.5-7.95,
